peak_id	pos_patterns.pattern_0	pos_patterns.pattern_3	pos_patterns.pattern_9	pos_patterns.pattern_2	pos_patterns.pattern_1	pos_patterns.pattern_4	pos_patterns.pattern_8	pos_patterns.pattern_11	pos_patterns.pattern_7	pos_patterns.pattern_10	pos_patterns.pattern_5	pos_patterns.pattern_6	total
406	5	0	0	0	0	0	0	1	1	0	0	0	7
407	2	0	0	0	0	0	1	0	0	0	0	0	3
408	2	0	0	0	0	0	0	0	0	0	0	0	2
409	1	0	0	0	0	0	0	0	0	0	0	0	1
410	1	0	0	0	1	0	0	0	0	0	0	0	2
411	1	0	0	1	1	0	0	0	0	0	0	0	3
412	2	0	0	0	1	0	0	0	0	0	0	0	3
414	1	0	1	0	1	0	1	0	0	0	0	0	4
415	1	0	0	0	1	1	0	0	0	0	0	0	3
416	0	0	0	0	1	0	0	0	0	0	0	0	1
418	0	0	1	0	0	0	0	0	0	0	0	0	1
419	2	0	0	1	1	0	0	0	0	0	0	0	4
420	2	0	0	0	0	0	0	0	0	0	0	0	2
421	2	0	1	0	0	0	0	0	0	0	0	0	3
422	1	0	0	1	0	0	1	0	0	0	0	0	3
423	2	0	0	0	0	0	0	0	0	0	0	0	2
424	2	0	0	0	0	0	0	0	0	0	0	0	2
425	2	0	0	0	0	0	0	0	0	0	0	0	2
426	2	0	0	0	0	0	0	0	0	0	0	0	2
427	0	2	0	0	0	0	0	0	0	0	0	0	2
428	2	0	0	0	1	0	0	0	0	0	0	0	3
430	2	0	0	0	0	0	0	0	0	0	0	0	2
431	3	0	0	0	1	0	0	1	0	0	0	0	5
432	2	0	0	0	1	0	0	0	0	0	0	0	3
433	0	0	1	0	0	0	0	0	0	0	0	0	1
434	1	0	0	0	0	0	0	0	0	0	0	0	1
435	0	0	0	0	1	0	0	0	0	0	0	0	1
436	1	0	0	0	0	0	0	1	0	0	0	0	2
437	0	0	0	1	1	0	0	0	0	0	0	0	2
438	1	0	0	0	0	0	0	1	0	0	0	0	2
439	3	0	0	0	0	0	0	0	0	0	0	0	3
440	2	0	0	1	0	0	0	1	0	0	0	0	4
441	4	0	0	0	0	0	0	0	0	0	0	0	4
442	0	0	0	0	2	0	0	0	0	0	0	0	2
443	0	0	0	0	4	0	0	0	1	0	0	0	5
444	2	0	0	0	0	0	0	0	0	0	0	0	2
447	0	0	0	0	2	0	0	0	1	0	0	0	3
448	0	0	1	0	1	0	0	0	0	0	0	0	2
449	4	0	0	0	0	0	1	0	0	0	0	0	5
