motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
4	++--	11	1.4262	0.2711	0.1212	1.1512	0.2303	0.103	2.5654	0.2742	0.1226
4	++--	12	1.447	0.1927	0.0862	1.172	0.1442	0.0645	2.5798	0.2091	0.0935
4	++--	13	1.2539	0.2717	0.1215	0.9788	0.2217	0.0991	2.4459	0.2486	0.1112
4	++--	14	1.2662	0.2589	0.1158	0.9912	0.2086	0.0933	2.4545	0.2426	0.1085
4	++--	15	1.3161	0.2251	0.1007	1.0411	0.1748	0.0782	2.4891	0.2213	0.099
4	++--	16	1.3371	0.1963	0.0878	1.062	0.1499	0.0671	2.5036	0.1842	0.0824
4	++--	17	1.2268	0.2675	0.1196	0.9517	0.2167	0.0969	2.4271	0.2515	0.1125
4	++--	18	1.2534	0.2184	0.0977	0.9784	0.1684	0.0753	2.4456	0.2149	0.0961
4	++--	19	1.2231	0.2472	0.1106	0.948	0.1967	0.088	2.4246	0.2363	0.1057
4	++--	20	1.4012	0.2279	0.1019	1.1262	0.1785	0.0798	2.548	0.2216	0.0991
4	++--	21	1.176	0.2244	0.1003	0.9009	0.1737	0.0777	2.3919	0.2229	0.0997
4	++--	22	1.2635	0.2479	0.1109	0.9885	0.1978	0.0885	2.4526	0.2311	0.1034
4	++--	23	1.2586	0.2328	0.1041	0.9836	0.1824	0.0816	2.4492	0.2234	0.0999
4	++--	24	1.4161	0.2362	0.1056	1.141	0.1896	0.0848	2.5583	0.2173	0.0972
4	++--	25	1.2215	0.2824	0.1263	0.9465	0.2317	0.1036	2.4235	0.2631	0.1177
4	++--	26	1.2761	0.2332	0.1043	1.0011	0.1834	0.082	2.4613	0.2191	0.098
4	++--	27	1.2616	0.2128	0.0952	0.9866	0.1641	0.0734	2.4513	0.2019	0.0903
4	++--	28	1.3904	0.2228	0.0996	1.1154	0.1731	0.0774	2.5405	0.215	0.0962
4	++--	29	1.1682	0.2788	0.1247	0.8931	0.2284	0.1021	2.3865	0.2601	0.1163
4	++--	30	1.2336	0.2459	0.11	0.9585	0.1956	0.0875	2.4318	0.2304	0.103
4	++--	31	1.2147	0.1851	0.0828	0.9397	0.1366	0.0611	2.4188	0.1947	0.0871
4	++--	32	1.3684	0.1983	0.0887	1.0933	0.1504	0.0673	2.5253	0.192	0.0858
4	++--	33	1.197	0.2603	0.1164	0.922	0.2098	0.0938	2.4065	0.2436	0.1089
4	++--	34	1.2321	0.2441	0.1092	0.9571	0.1938	0.0867	2.4309	0.2302	0.1029
4	++--	35	1.2067	0.2021	0.0904	0.9316	0.1523	0.0681	2.4132	0.2081	0.0931
4	++--	36	1.324	0.233	0.1042	1.049	0.1825	0.0816	2.4945	0.227	0.1015
4	++--	37	1.2144	0.2381	0.1065	0.9394	0.1874	0.0838	2.4186	0.2328	0.1041
4	++--	38	1.2249	0.2418	0.1082	0.9499	0.1919	0.0858	2.4259	0.2256	0.1009
4	++--	39	1.2293	0.1733	0.0775	0.9543	0.1238	0.0553	2.4289	0.189	0.0845
4	++--	40	1.3476	0.2318	0.1037	1.0725	0.1814	0.0811	2.5109	0.2245	0.1004
4	++--	41	1.1832	0.2574	0.1151	0.9082	0.2069	0.0925	2.3969	0.245	0.1096
4	++--	42	1.2604	0.2419	0.1082	0.9853	0.1924	0.086	2.4504	0.2263	0.1012
4	++--	43	1.2091	0.1807	0.0808	0.934	0.1315	0.0588	2.4149	0.1965	0.0879
4	++--	44	1.2615	0.2223	0.0994	0.9864	0.1719	0.0769	2.4512	0.2204	0.0986
4	++--	45	1.1162	0.2511	0.1123	0.8411	0.2008	0.0898	2.3505	0.2379	0.1064
4	++--	46	1.1881	0.2364	0.1057	0.9131	0.1864	0.0834	2.4004	0.2238	0.1001
4	++--	47	1.1983	0.1505	0.0673	0.9233	0.1037	0.0464	2.4074	0.1736	0.0776
4	++--	48	1.2964	0.2269	0.1015	1.0214	0.1765	0.0789	2.4754	0.2225	0.0995
4	++--	49	1.1408	0.2493	0.1115	0.8658	0.199	0.089	2.3675	0.2391	0.1069
4	++--	50	1.2207	0.2517	0.1126	0.9457	0.2017	0.0902	2.4229	0.2351	0.1051
4	+-+-	0	1.0683	0.5116	0.2288	0.7932	0.4622	0.2067	2.3173	0.4154	0.1858
4	+-+-	1	0.936	0.2831	0.1266	0.661	0.2549	0.114	2.2256	0.2074	0.0928
4	+-+-	2	1.5993	0.3127	0.1399	1.3242	0.2868	0.1283	2.6853	0.3078	0.1376
