position	mean_all	median_all	mean_decile4	mean_decile6	mean_decile8	mean_decile10
-3375.0	3.6076021	1.0	1.3256952	1.9715933	3.9140053	16.223822
-3325.0	3.606603	1.0	1.3295033	1.9533994	3.9060156	16.206718
-3275.0	3.6254914	1.0	1.345121	1.9583347	3.9090915	16.298676
-3225.0	3.6437716	1.0	1.3446751	1.9787308	3.8729103	16.3992
-3175.0	3.6567461	1.0	1.3267019	1.9823409	3.882816	16.47599
-3125.0	3.6550453	1.0	1.3334711	2.0006804	3.8783357	16.5248
-3075.0	3.656333	1.0	1.3392794	1.9919735	3.865156	16.57035
-3025.0	3.653344	1.0	1.3368995	2.0032468	3.8567138	16.564459
-2975.0	3.6564674	1.0	1.3371994	2.0144017	3.864422	16.544758
-2925.0	3.666061	1.0	1.328369	2.0599198	3.8400478	16.581139
-2875.0	3.6750045	1.0	1.3056619	2.0468261	3.8366334	16.593302
-2825.0	3.6970968	1.0	1.3026205	2.0407329	3.8910213	16.643396
-2775.0	3.7138877	1.0	1.2949443	2.0299728	3.9265437	16.716913
-2725.0	3.737269	1.0	1.2991261	2.0184066	4.0259604	16.816294
-2675.0	3.751498	1.0	1.3029071	1.9880067	4.1076083	16.834667
-2625.0	3.7787085	1.0	1.3327504	2.006974	4.2035847	16.876705
-2575.0	3.8256242	1.0	1.3531643	2.043014	4.3015532	17.05244
-2525.0	3.8806484	1.0	1.3695422	2.058852	4.3624086	17.319637
-2475.0	3.9360628	1.0	1.3737515	2.0448532	4.392761	17.682117
-2425.0	4.002739	1.0	1.3755592	2.0530062	4.419384	18.123425
-2375.0	4.0714383	1.0	1.3711303	2.0630598	4.3913717	18.660215
-2325.0	4.1060786	1.0	1.3609539	2.0677345	4.3376436	19.001812
-2275.0	4.151853	1.0	1.3520844	2.0702388	4.3793664	19.339752
-2225.0	4.180428	1.0	1.3521833	2.0920196	4.3997817	19.561953
-2175.0	4.209027	1.0	1.3502632	2.1206257	4.4381022	19.730692
-2125.0	4.2356577	1.0	1.3336723	2.1268744	4.504142	19.788141
-2075.0	4.273557	1.0	1.3368784	2.1212332	4.6176047	19.838552
-2025.0	4.319312	1.0	1.3556186	2.1215868	4.720994	19.945515
-1975.0	4.392099	1.0	1.3856825	2.1346674	4.8024864	20.164259
-1925.0	4.4676743	1.0	1.4118043	2.1179602	4.867812	20.57209
-1875.0	4.5568776	1.0	1.4383248	2.1283076	4.965418	21.073954
-1825.0	4.653473	1.0	1.4589326	2.1540263	5.0520005	21.576773
-1775.0	4.7295756	1.0	1.4621801	2.1781802	5.1145034	21.96976
-1725.0	4.8183546	1.0	1.4389203	2.1953192	5.2438517	22.466013
-1675.0	4.9141297	1.0	1.4228609	2.2271142	5.418913	22.905222
-1625.0	5.0048184	1.0	1.4131318	2.2816927	5.5880704	23.353148
-1575.0	5.1100163	1.02	1.3909442	2.3319542	5.780528	24.021774
-1525.0	5.2307796	1.02	1.3823607	2.368506	6.0191665	24.795897
-1475.0	5.3398046	1.04	1.384468	2.386559	6.2286296	25.494267
-1425.0	5.471471	1.12	1.4080416	2.4053466	6.530081	26.185867
-1375.0	5.6176395	1.14	1.4170183	2.415441	6.819546	26.865322
-1325.0	5.7641435	1.2	1.4391135	2.4245992	7.082239	27.47696
-1275.0	5.9161763	1.24	1.4559518	2.477536	7.259899	28.187786
-1225.0	6.089001	1.34	1.4837002	2.5481868	7.4528403	28.97666
-1175.0	6.258945	1.4	1.5036142	2.585082	7.624364	29.80235
-1125.0	6.4254403	1.44	1.5100105	2.626181	7.757278	30.74822
-1075.0	6.5987883	1.48	1.5012326	2.6937602	7.900072	31.673384
-1025.0	6.789627	1.52	1.5162647	2.7230058	8.088542	32.577095
-975.0	6.984588	1.54	1.5164926	2.7402012	8.33868	33.551224
-925.0	7.218289	1.62	1.5049951	2.8036788	8.4737015	34.933178
-875.0	7.481559	1.68	1.5196995	2.863461	8.671614	36.417366
-825.0	7.776297	1.82	1.5501643	2.9332924	8.8961935	38.084984
-775.0	8.088172	1.88	1.5590932	3.0249672	9.248409	39.71577
-725.0	8.430691	1.94	1.579053	3.1701498	9.624808	41.329823
-675.0	8.813765	2.0	1.6110512	3.3691733	10.193802	42.87779
-625.0	9.274733	2.0	1.6583263	3.574455	10.891465	44.709
-575.0	9.831028	2.0	1.7137184	3.7675195	11.744168	47.047302
-525.0	10.493447	2.0	1.7976923	4.03008	12.645411	50.01186
-475.0	11.170419	2.0	1.9153858	4.357307	13.580243	52.955246
-425.0	11.817404	2.06	2.0589614	4.657454	14.494116	55.661976
-375.0	12.40315	2.38	2.2511246	5.009736	15.389551	57.800762
-325.0	12.903419	2.68	2.471002	5.4155903	16.190031	59.26352
-275.0	13.254679	3.0	2.7182465	5.866532	16.971079	59.557766
-225.0	13.518049	3.0	2.985824	6.232523	17.62963	59.370354
-175.0	13.634937	3.18	3.184808	6.5565553	18.047207	58.5515
-125.0	13.601528	3.38	3.2674572	6.7134323	18.178198	57.567688
-75.0	13.521499	3.54	3.3161714	6.8657317	18.1972	56.57214
-25.0	13.487928	3.66	3.319253	6.927789	18.007908	56.237755
25.0	13.510171	3.68	3.2835925	7.01111	17.897213	56.236404
75.0	13.569871	3.58	3.265673	7.0408335	17.86717	56.757767
125.0	13.668079	3.42	3.2256334	7.0883713	17.826824	57.692722
175.0	13.65592	3.2	3.1542232	6.9487767	17.692717	58.511246
225.0	13.505788	3.0	3.019934	6.665736	17.58092	58.748734
275.0	13.1798315	3.0	2.8075702	6.240452	17.201427	58.614674
325.0	12.762107	2.78	2.584023	5.7873445	16.587917	57.992416
